Country,Year,Student
自主研发,2008,110.1
自主研发,2009,165.3
自主研发,2010,193
自主研发,2011,271.5
自主研发,2012,368.1
自主研发,2013,476.6
自主研发,2014,726.6
自主研发,2015,986.7
自主研发,2016,1182.5
自主研发,2017,1397.4
自主研发,2018,1643.9
其他,2008,75.5
其他,2009,97.5
其他,2010,140
其他,2011,174.6
其他,2012,234.7
其他,2013,355.1
其他,2014,418.2
其他,2015,420.3
其他,2016,473.2
其他,2017,638.7
其他,2018,500.5
